I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5244,No,1990,6,9,1,14,34.5,26,4.9,,4.9,5.5,,,,6,PERU,,"PERU:  N, RIOJA, MOYOBAMBA, IQUITOS",-6.062,-77.136,160,1,1,,,,,,1,14,1,,,1,1,,,,,,1,14,1,,
5245,No,1990,6,14,7,40,56.2,18,7.1,,7.1,6,,,,6,PHILIPPINES,,"PHILIPPINES:  CULASI, PANAY",11.76,121.899,170,4,1,,,15,1,,2,,,,,4,1,,,15,1,,2,,,,
5246,No,1990,6,14,12,47,28.8,58,6.8,,6.8,6.1,,,,5,KAZAKHSTAN,,"KAZAKHSTAN:  UST, ZAYSAN",47.869,85.076,40,1,1,,,,,,3,3000,4,,,1,1,,,,,,3,3000,4,,
5247,No,1990,6,17,4,51,45.5,15,6.3,,6.3,5.9,,,,,PAKISTAN,,PAKISTAN:  BALUCHISTAN,27.398,65.719,60,,,,,6,1,,1,,,,,,,,,6,1,,1,,,,
5248,Yes,1990,6,20,21,0,9.9,19,7.3,7.3,7.7,6.4,,,,7,IRAN,,"IRAN:  RASHT, QAZVIN, ZANJAN,  RUDBAR, MANJIL",36.957,49.409,140,40000,4,,,105000,4,7200,4,,4,,,40000,4,,,105000,4,7200,4,,4,,
5250,No,1990,6,21,9,2,14.6,15,5.3,,5.3,5.8,,,,,IRAN,,"IRAN:  LOWSHAN, MANJIL",36.636,49.799,140,20,1,,,,,,1,,,,,20,1,,,,,,1,,,,
5251,No,1990,7,6,0,16,20.4,14,4.8,,4.8,5.8,,,,,INDONESIA,,"INDONESIA:  JAVA:  W, KUNINGAN, MAJALENGA",-6.904,108.12,60,,,,,103,3,,3,10300,4,,,,,,,103,3,,3,10300,4,,
5252,No,1990,7,13,14,20,43.4,217,5.6,,,5.6,,,,4,AFGHANISTAN,,AFGHANISTAN:  HINDU KUSH:  PIK LENINA,36.415,70.789,40,43,1,,,,,,,,,,,43,1,,,,,,,,,,
5253,No,1990,7,16,7,26,34.6,25,7.8,,7.8,6.5,,,,9,PHILIPPINES,,"PHILIPPINES:  BAGUIO,  CABANATUAN, DAGUPAN",15.679,121.172,170,2412,4,,,3000,4,369.6,4,,,,,2412,4,,,3000,4,369.6,4,,,,
5255,No,1990,7,18,11,29,24.9,17,5.1,,5.1,5.2,,,,,TURKEY,,"TURKEY:  CAMELI, DENIZLI",36.99,29.595,140,,,,,,,,2,,,393,3,,,,,,,,2,,,393,3
